nazev,web,clenu,lat,lon
Brandýs n.L.,http://sokolbrandysnl.webnode.cz/,659,50.1832381,14.6653214
Byšice,http://www.sokol.eu/jednota/21,9,50.3123372,14.6175283
Cítov,http://www.sokol.eu/jednota/22,100,50.3709278,14.4042803
Čečelice,http://www.sokol.eu/jednota/23,45,50.2954614,14.6180964
Český Brod,http://sokolbrod.cz/,458,50.0746528,14.8576789
Dolní Beřkovice,http://www.sokoldb.info/,145,50.3929664,14.4482347
Dřísy,http://www.sokol.eu/jednota/26,29,50.2507008,14.6422472
Horní Počaply,http://www.sokol-hornipocaply.cz/,7,50.4224283,14.3903517
Hořany,http://www.sokol.eu/jednota/28,8,50.0988133,14.9462450
Chocerady,http://sokol-chocerady.webnode.cz/,90,49.8713628,14.8040083
Konojedy,http://www.obeckozojedy.eu/spolky-sdruzeni/tj-sokol/,19,49.9485067,14.8493775
Kostelec n.L.,http://www.sokol.eu/jednota/31,176,50.2245789,14.5841472
Kralupy n.Vl.,http://www.sokol.kralupy.cz/,598,50.2415922,14.3119394
Lázně Toušeň,http://www.dslt.cz/sokol/,57,50.1663239,14.7165819
Lysá nad Labem,http://www.sokol-lysa.cz/,437,50.2024097,14.8422947
Mělnické Vtelno,http://www.melnickevtelno.cz/index.php?nid=2678&lid=cs&oid=4943795,23,50.3523106,14.6951100
Mělník Pšovka,http://www.sokol.eu/jednota/38,25,50.3666203,14.4683719
Milovice,http://sokolmilovice.webnode.cz/,192,50.2268981,14.8886803
Mochov,http://www.tjsokolmochov.wz.cz/,58,50.1403500,14.7959117
Mratín,http://www.mratin.info/sokol/,173,50.2026322,14.5498681
Mšeno u Mělnika,http://www.mestomseno.cz/index.php?cmd=page&id=11,300,50.4385367,14.6332942
na Mělníce,http://www.sokol-melnik.cz/,29,50.3539956,14.4745778
Nehvizdy,http://www.sokolnehvizdy.cz/,311,50.1292453,14.7272203
Ovčáry-Nedomice,http://sokol-ovcary.webnode.cz/,47,50.2530489,14.6138539
Poříčany,http://sokolporicany.cz/,74,50.1070447,14.9141217
Přistoupim,http://www.pristoupim.cz/volny-cas/spolky-sdruzeni/tj-sokol/,20,50.0572981,14.8765944
Přívory,http://www.privory.cz/index.php/sokol-privory/rozvrh-sokolovny,171,50.2854614,14.5823036
Pyšely,http://www.tjsokolpysely.estranky.cz/,132,49.8747411,14.6783506
Řepín,http://www.sokol.eu/jednota/50,52,50.3642519,14.6307772
Říčany a Radoš.,http://sokolricany.cz/,1247,49.9932369,14.6600964
Sedlčánky,http://www.sokol.eu/jednota/52,11,50.1623814,14.7534650
Strančice,http://sokol-strancice.webnode.cz/,205,49.9489317,14.6771361
Stříbrná Skalice,http://www.sokolstskalice.estranky.cz/,49,49.8963953,14.8454400
Šestajovice,http://www.sokolsestajovice.cz/,248,50.1066175,14.6800436
Úžice,http://www.sokol.eu/jednota/56,7,50.2536728,14.3796411
v Nebuželích,http://www.sokol.eu/jednota/57,12,49.9209258,14.6406614
Velké Popovice,http://www.sokolvelkepopovice.cz/,44,50.1674364,14.4445986
Veltěž,http://www.sokolveltez.cz/,214,50.2703056,14.3283969
Veltrusy,http://sokolveltrusy.cz/,55,50.3898492,14.5941272
Vodochody-Hoštice,http://www.sokol.eu/jednota/61,4,50.2026664,14.4075122
Vraňany,http://www.sokol.eu/jednota/62,41,50.3176294,14.3619139
Všestudy,http://www.tjsokolvsestudy.cz/,25,50.2873264,14.3442186
Všetaty,http://www.sokolvsetaty.cz/,50,50.2828392,14.5884119
Zvánovice,http://www.sokol.eu/jednota/65,12,49.9315739,14.7812483
